Ubicazione;Data_avvio_primo_Proc;TipoVia;DescrizioneVia;Civico;Bar;CodiceVia;ZD;durata_attivita_tipo;insegna;numero_addetti;posto_speciale_cf;attivita_prevalente;settore_merceologico;settore_storico_n;settore_storico_preval;settore_storico_s;superficie_vendita
VIA VALLAZZE N. 104 , accesso: accesso esterno, (z.d. 3);03/04/1992;VIA ;VALLAZZE;104;;2250;3;;unes u! come tu mi vuoi;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato
";supermercato alimentare;settore alimentare/non aliment;398
VIA ROSSI PELLEGRINO N. 80 , isolato:183, accesso: accesso esterno, (z.d. 9);23/07/1991;VIA ;ROSSI PELLEGRINO;80;;1510;9;;conad;;;;alimentare,non alimentare;"supermercato 
";minimercati;settore alimentare/non aliment;360
VIA ARCO N. 2 aff. az. tacit. rinnov.,via arco 002, isolato:295, accesso: accesso esterno, (z.d. 1);12/05/1992;VIA ;ARCO;2;;714;1;;;;;;alimentare,non alimentare;"minimarket 
";minimercati;settore alimentare/non aliment;364
VIA RIPAMONTI GIUSEPPE N. 175 , isolato:109, accesso: accesso esterno, (z.d. 5);19/05/1992;VIA ;RIPAMONTI GIUSEPPE;175;;4066;5;;oviesse;;interni aziende, fabbriche e simili;;alimentare,non alimentare;"abbigliamento e accessori 
";grande magazzino senza alimen.;settore alimentare/non aliment;1490
VIA BOVISASCA int.centro commerciale num.173, accesso: accesso interno, (z.d. 9);09/07/1992;VIA;BOVISASCA;173;;1460;9;;conad;;centro commerciale;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: vendita al minuto di generi alimentari 
";supermercato alimentare;settore alimentare/non aliment;1166
CSO VERCELLI num.023/25, isolato:235, pto strada:1 , accesso: accesso esterno, (z.d. 7);28/07/1992;CSO ;VERCELLI;23;25;6193;7;;frette;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";abbigliamento uomo;settore non alimentare;340
VLE BLIGNY N. 54 , isolato:108, accesso: accesso esterno, (z.d. 5);30/07/1992;VLE ;BLIGNY;54;;4045;5;;crai;;;;alimentare,non alimentare;;minimercati;vi,i (cont.anteced. d.m. 375/88),xiv sub 1,xiv sub 48;280
VIA CASORETTO N. 33 , isolato:006, accesso: accesso esterno, (z.d. 3);10/09/1992;VIA ;CASORETTO;33;;2420;3;;;;;;non alimentare;;giocattoli;xiv-giocatt. e art. per infan.;290
GLL DEL CORSO N. 2 ang.vitt.emanuele interno,cso vittorio emanuele ii 022, isolato:360, accesso: accesso esterno, (z.d. 1);16/06/1992;GLL ;DEL CORSO;2;;305;1;;messaggerie musicali;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: commercio dischi,libri,ecc. 
";dischi;settore alimentare/non aliment;2440
VIA SETTEMBRINI LUIGI N. 11 , isolato:073, accesso: accesso esterno, (z.d. 2);01/12/1992;VIA ;SETTEMBRINI LUIGI;11;;2127;2;;belmonte camiciaio italia;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";camiceria;settore non alimentare;295
VIA SAN MARCO N. 26 , isolato:177, accesso: accesso esterno, (z.d. 1);18/12/1992;VIA ;SAN MARCO;26;;1036;1;;carrefour;;;;alimentare,non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";supermercato alimentare;settore alimentare/non aliment;269
VLE FORLANINI ENRICO num.031, isolato:164, accesso: accesso esterno, (z.d. 4);31/12/1992;VLE;FORLANINI ENRICO;31;;3171;4;;aica concessionaria fiat;;;;non alimentare;;auto-moto-cicli;xiv prod.meccanica strum e att;400
VIA VILLAPIZZONE num.012, isolato:171, accesso: accesso esterno, (z.d. 8);27/01/1993;VIA ;VILLAPIZZONE;12;;7272;8;;verzeri;;;;non alimentare;",cartoleria cancelleria giocattoli macchine e mobili per ufficio 
";cartoleria cancelleria;xiii (libri),xiv;252
VIA LIPPI FILIPPINO N. 19 , isolato:045, accesso: accesso esterno, (z.d. 3);02/02/1993;VIA ;LIPPI FILIPPINO;19;;2196;3;;ronchi arredamenti snc;;;;non alimentare;;mobili;xii-elettrodomestici,xii sub 1;277
VIA CATULLO N. 8 loc. interno, (z.d. 8);05/02/1993;VIA ;CATULLO;8;;7428;8;;;;;;non alimentare;;;xiv-roulottes,xiv-automobili-moto e cicli;286
VIA ROSMINI ANTONIO N. 11 , isolato:110, accesso: accesso esterno, (z.d. 1);10/02/1993;VIA ;ROSMINI ANTONIO;11;;7132;1;;kathay china food store;;;;Non Alimentare,Alimentare;;drogheria;i (cont.anteced. d.m. 375/88),xiv sub 34,vi,v,xii sub 2;259
VIA BASSI UGO N. 5 , isolato:257, accesso: accesso esterno, (z.d. 9);18/03/1993;VIA ;BASSI UGO;5;;1143;9;;bernardi abbigliamento;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";abbigliamento;settore non alimentare;371
VIA CANONICA LUIGI N. 54 aff. az. tacit. rinnov., isolato:106, accesso: accesso esterno, (z.d. 1);13/04/1993;VIA ;CANONICA LUIGI;54;;7121;1;;punto sma;;;;alimentare,non alimentare;"supermercato 
";minimercati;settore alimentare/non aliment;388
VIA FOSCOLO UGO N. 3 ,gll vittorio emanuele 000, isolato:480, accesso: accesso esterno, (z.d. 1);14/04/1993;VIA ;FOSCOLO UGO;3;;205;1;;ricordi media store;;gallerie, sagrato;;Non Alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: prodotti multimediali e musicali in genere 
";dischi;settore non alimentare;1576
VIA PETROCCHI POLICARPO N. 36 , isolato:187, accesso: accesso esterno, (z.d. 2);17/06/1993;VIA ;PETROCCHI POLICARPO;36;;2320;2;;nuova eco srl.;;interni aziende, fabbriche e simili;;non alimentare;"materiale idrotermo sanitario e arredo bagno 
";elettricita' e idraulica;settore non alimentare;705
VIA SAN MAMETE N. 54 , isolato:142, accesso: accesso esterno, (z.d. 2);19/05/1993;VIA ;SAN MAMETE;54;;2413;2;;geco sanitari;;;;non alimentare;;art.per l'arredam.del bagno;xiv sub 16,xiv sub 31;548
VLE ARETUSA N. 37 , isolato:003, accesso: accesso esterno, (z.d. 7);07/05/1993;VLE ;ARETUSA;37;;6565;7;;euronics point;;;;non alimentare;"elettrodomestici 
";radio tv, elettrodom,app.radio;settore non alimentare;270
LGO CORSIA DEI SERVI N. 11 tac. rinnovabile ogni 6 anni,lgo corsia dei servi 011, isolato:360, accesso: accesso esterno, (z.d. 1);21/06/1993;LGO ;CORSIA DEI SERVI;11;;234;1;;benetton;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) 
";abbigliamento bambino;settore non alimentare;916
CSO BUENOS AIRES N. 2 loc. interno, isolato:143, accesso: accesso interno, (z.d. 3);25/06/1993;CSO ;BUENOS AIRES;2;;2129;3;;;;;;non alimentare;;antichita' e oggetti d'arte,an;xiv sub 4;315
VLE COL DI LANA N. 6 (z.d. 5);30/06/1993;VLE ;COL DI LANA;6;;5198;5;;;;;;non alimentare;;;xii-radio e tv,xii-elettrodomestici,xii sub 2,xii sub 1,x,xiv,xii-materiale elettrico;470
PZA DEL DUOMO N. 21 ,pza del duomo 021, isolato:471, accesso: accesso esterno, (z.d. 1);11/03/1993;PZA ;DEL DUOMO;21;;1;1;;stefanel;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attiv.prevalente: articoli di abbigliamento - accessori - calzature - articoli in cuoio - articoli da regalo 
";abbigliamento;settore non alimentare;460
codvia 0198 num.010 , isolato:065, accesso: accesso esterno, (z.d. 6);29/03/1993;;;;;;;;;;;;non alimentare;;cartoleria cancelleria;xiv-cancelleria,xiv-cartoleria,xiv-computers;280
VIA BIANCHI MOSE' N. 94 loc. interno, isolato:220, accesso: accesso interno, (z.d. 7);03/08/1993;VIA ;BIANCHI MOSE';94;;6385;7;;;;interni aziende, fabbriche e simili;;alimentare,non alimentare;"oggettistica varia 
,,,,";libreria;xiv,xiv-videocassette,xiv-arredamenti sacri,xiii (libri),i;271
VIA SANTA RADEGONDA N. 10 mq. 675 i piano mq. 815 ii pia,via santa radegonda 010, isolato:419, accesso: accesso esterno, (z.d. 1);25/02/1993;VIA ;SANTA RADEGONDA;10;;208;1;;la rinascente;;;;non alimentare;",,,profumeria-bigiotteria-art.attrezzi e strumenti per la pratica dello sport- orologeria-articoli per la mamma e il bambino-valigeria e articoli da viaggio non in pelle ne in cuoio 
,,,,,,,,";grande magazzino senza alimen.;xiv sub 36,ix (cont.antec. d.m. 375/88),xiv sub 3,xiv,xiv sub 38,xiv sub 34,xii sub 3,xii sub 1,xiv sub 25,x,xiv sub 1,xii sub 2;1490
VIA COLONNA MARCO ANTONIO N. 35 (z.d. 8);17/09/1993;VIA ;COLONNA MARCO ANTONIO;35;;7158;8;;;;;;non alimentare;;;xiv,xii-materiale elettrico,xii-radio e tv,xii-elettrodomestici,xii sub 2;350
VIA GUINTELLINO GUGLIELMO num.026/28, isolato:027, accesso: accesso esterno, (z.d. 6);27/09/1993;VIA ;GUINTELLINO GUGLIELMO;26;29;5369;6;;magia 2;;;;non alimentare;"prodotti per rivestimenti e materiali termoidrosanitari 
";art.per l'arredam.del bagno;xiv;333
VIA DELLA SPIGA N. 2 ,via della spiga 002, isolato:189, accesso: accesso esterno, (z.d. 1);13/10/1993;VIA ;DELLA SPIGA;2;;226;1;;dolce e gabbana;;;;non alimentare;;boutique;settore non alimentare;392
VIA MONVISO N. 34 , isolato:055, accesso: accesso esterno, (z.d. 8);03/01/1994;VIA ;MONVISO;34;;7212;8;;pabocar service;;;;non alimentare;"autovetture e veicoli nuovi e usati 
";autoveicoli;xiv;390
VIA DELLA SPIGA num.026/ab, isolato:184, accesso: accesso esterno, (z.d. 1);05/01/1994;VIA ;DELLA SPIGA;26;;226;1;;d E g;;;;non alimentare;"(con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) - attivita' prevalente: abbigliamento e accessori. 
";abbigliamento;settore non alimentare;898
VIA GROSIO N. 9 , isolato:202, accesso: accesso esterno, (z.d. 8);25/01/1994;VIA ;GROSIO;9;;7483;8;;fiat succ. vendita assist;;interni aziende, fabbriche e simili;;non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma attivita' prevalente:commercializzazione di autovetture e veicoli commerciali al dettaglio 
";autoveicoli;settore non alimentare;675
VIA LUDOVICO DI BREME N. 48 , isolato:226, accesso: accesso interno, (z.d. 8);27/07/1993;VIA ;LUDOVICO DI BREME;48;;7396;8;;in s mercato;;;;alimentare,non alimentare;"erboristeria (prodotti preconfezionati e sigillati all'origine) - animali vivi e articoli per il loro allevamento - articoli di cine, foto, ottica (con l'esclusione dei prodotti per la cui vendita e' prevista l'attivita' di persona munita di speciale abilitazione, secondo le norme della l.23.6.1927 n.1264 e relativo regolamento di esecuzione r.d. 31.5.1928 n.1334) - computers articoli di elettronica 
,prodotti per la persona - prodotti per la casa - prodotti per lo sport e il tempo libero - prodotti per l'edilizia 
,,,,,,,,,";discount alimentare;xiv prodotti vari,xiv,ia,xii-materiale elettrico,xii sub 1,xiii (libri),x,xiv prod.meccanica strum e att,xii-radio e tv,xii-elettrodomestici,xii sub 2;600
VIA OLONA N. 25 , isolato:224, accesso: accesso interno, (z.d. 1);08/02/1994;VIA ;OLONA;25;;5090;1;;;;;;non alimentare;"carte da parati-moquettes-oggetti d'arredamento 
,,";arredamenti;xiv,xii sub 1,x;261
VLE CERTOSA N. 148 , isolato:220, accesso: accesso esterno, (z.d. 8);10/02/1994;VLE ;CERTOSA;148;;7174;8;;mitsubishi motors;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";autoveicoli;settore non alimentare;485
VIA PASSIONE num.002/a, isolato:194, accesso: accesso esterno, (z.d. 1);03/03/1994;VIA ;PASSIONE;2;A;3033;1;;schiffini;;;;non alimentare;"mobili ed oggettistica per la casa con prevalenza di mobili da cucina ed oggettistica 
";mobili;settore non alimentare;328
VIA MANZONI ALESSANDRO N. 30 ,via manzoni alessandro 030, isolato:255, accesso: accesso esterno, (z.d. 1);17/03/1994;VIA ;MANZONI ALESSANDRO;30;;230;1;;da driade;;;;non alimentare;;arredamenti;settore non alimentare;872
VIA MOLINO DELLE ARMI N. 49 ,via molino delle armi 049, isolato:126, accesso: accesso esterno, (z.d. 1);05/04/1994;VIA ;MOLINO DELLE ARMI;49;;591;1;;mornata art decor;;;;non alimentare;",complementi di arredamento 
,";mobili;xii sub 2,xiv,xii sub 1;270
CSO EUROPA N. 12 ,cso europa 012, isolato:317, accesso: accesso esterno, (z.d. 1);25/03/1994;CSO ;EUROPA;12;;300;1;;koivu;;;;non alimentare;"tessili, biancheria, mobili, casalinghi e art. per illuminazione, elettrodomestici, libri, cartoleria 
";casalinghi;settore non alimentare;770
VIA CLITUMNO N. 20 , isolato:317, accesso: accesso esterno, (z.d. 2);14/03/1994;VIA ;CLITUMNO;20;;2367;2;;in s mercato;;;;alimentare,non alimentare;",,,,,,,,,erboristeria (prodotti preconfezionati e sigillati all'origine) - animali vivi e articoli per il loro allevamento - articoli di cine, foto, ottica (con l'esclusione dei prodotti per la cui vendita e' prevista l'attivita' di persona munita di speciale abilitazione, secondo le norme della l.23.6.1927 n.1264 e erlativo regolamento di esecuzione r.d.31.5.1928 n.1334) - computers - articoli di elettronica 
,,,,,,,,,";discount alimentare;xii-radio e tv,speciale salumeria,xii-materiale elettrico,xii-elettrodomestici,xiv prodotti per la casa,vii (cont.antec. d.m. 27/6/86),i (cont.anteced. d.m. 375/88),xiv prod.meccanica strum e att,xiv prod. sport e tempo libero,xiv prodotti vari,ix,xiv prodotti per l'edilizia,vi,xii sub 2,xii sub 1,xiii (libri),x,xiv prodotti per la persona,speciale latteria;600
GLL UNIONE N. 1 ,pza missori giuseppe 000, isolato:470, accesso: accesso esterno, (z.d. 1);20/05/1994;GLL ;UNIONE;1;;510;1;;libreria esoterica;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: libreria 
";libreria;settore non alimentare;300
VIA LORENTEGGIO N. 264 , isolato:086, accesso: accesso esterno, (z.d. 6);30/05/1994;VIA ;LORENTEGGIO;264;;5132;6;;midas;;;;non alimentare;"parti e accessori per autoveicoli ed ogni tipo di veicoli a motore 
";accessori e ricambi auto-moto;xiv;607
VIA MANZONI ALESSANDRO N. 7 ,via manzoni alessandro 007, isolato:364, accesso: accesso esterno, (z.d. 1);09/05/1994;VIA ;MANZONI ALESSANDRO;7;;230;1;;tenda davide cenci;;;;non alimentare;"articoli di abbigliamento per uomo donna e bambino 
";abbigliamento;settore non alimentare;278
VLE TESTI FULVIO N. 29 , isolato:141, accesso: accesso esterno, (z.d. 9);06/06/1994;VLE ;TESTI FULVIO;29;;1441;9;;spotorno car srl;;;;non alimentare;;auto-moto-cicli;xiv-automobili-moto e cicli;323
VIA MONTALBINO N. 4 , isolato:079, accesso: accesso interno, (z.d. 9);06/06/1994;VIA ;MONTALBINO;4;;1340;9;;cdc poin spa;;;;non alimentare;"elaboratori elettronici-periferiche-parti staccate accessori e programmi 
";programmazione e sistemi informatici -computer;xiv;500
VLE ABRUZZI N. 54 , isolato:065, accesso: accesso esterno, (z.d. 3);15/12/1993;VLE ;ABRUZZI;54;;2177;3;;carrefour;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: commercio al dettaglio generi alimentari 
";supermercato alimentare;settore alimentare/non aliment;370
VIA PADOVA N. 15 , isolato:352, accesso: accesso esterno, (z.d. 2);07/07/1994;VIA ;PADOVA;15;;2275;2;;mercedes benz milano;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: commercio di ricambi per autoveicoli 
";accessori e ricambi auto-moto;settore non alimentare;450
VLE PAPINIANO N. 16 , isolato:282, accesso: accesso esterno, (z.d. 1);08/08/1994;VLE ;PAPINIANO;16;;5097;1;;;;;;Alimentare,Non Alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";parafarmacia;settore alimentare/non aliment;376
VIA MONTE NAPOLEONE N. 2 allo sport. in distrib.,via monte napoleone 002, isolato:263, accesso: accesso esterno, (z.d. 1);02/09/1994;VIA ;MONTE NAPOLEONE;2;;219;1;;louis vuitton;;;;Non Alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) commercio al dettaglio abbigliamento e accessori - pelletteria 
";valigeria, pelletteria;settore non alimentare;928
PZA DIAZ ARMANDO N. 6 ,pza diaz armando 006, isolato:448, accesso: accesso esterno, (z.d. 1);03/10/1994;PZA ;DIAZ ARMANDO;6;;339;1;;co. import;;;;non alimentare;"con esclusione dei prodotti per i quali e'previsto per legge uno specifico diploma attivita' prevalente: mobili casalinghi giardinaggio 
";casalinghi;settore non alimentare;468
VIA DELLA MOSCOVA N. 30 , isolato:009, accesso: accesso esterno, (z.d. 1);27/09/1994;VIA ;DELLA MOSCOVA;30;;1016;1;;carrefour;;;;alimentare,non alimentare;"(con esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente commercio al dettaglio generi alimentari 
";supermercato alimentare;settore alimentare/non aliment;454
VIA VARESINA N. 25 , isolato:271, accesso: accesso esterno, (z.d. 8);29/09/1994;VIA ;VARESINA;25;;7290;8;;in s mercato;;;;alimentare,non alimentare;",,,,,,,,,,,,,,erboristeria (prodotti preconfezionati e sigillati all'origine) - animali vivi e articoli per il loro allevamento - articoli di cine, foto, ottica (con l'esclusione dei prodotti per la cui vendita e' prevista l'attivita' di persona minita di speciale abilitazione, secondo le norme della l.23.6.1927 n.1264 e relativo regolamento di esecuzione r.d. 31.5.1928 n.1334) - computersarticoli di elettronica 
";discount alimentare;xii-radio e tv,xii sub 2,i (cont.anteced. d.m. 375/88),xiv prod. sport e tempo libero,xii-elettrodomestici,xii sub 1,xiv prod.meccanica strum e att,xiii (libri),x,xiv prodotti per l'edilizia,speciale latteria,xii-materiale elettrico,xiv prodotti per la casa,xiv prodotti per la persona,xiv prodotti vari;399
VIA APELLE num.036/38, isolato:113, accesso: accesso esterno, (z.d. 2);11/10/1994;VIA ;APELLE;36;38;2454;2;;in s mercato;;;;alimentare,non alimentare;",erboristeria (prodotti preconfezionati e sigillati all'origine) - animali vivi e articoli per il loro allevamento - articoli di cine, foto, ottica (con l'eslusione dei prodotti per la cui vendita e' prevista l'attivita' di persona munita di speciale abilitazione, secondo le norme della l.23.6.1927 n.1264 e relativo regolamento di esecuzione r.d. 31.5.1928 n.1334) - computers articoli di elettronica 
,,,,,,,,,,,,,,,";discount alimentare;xiv prodotti vari,x,i,speciale salumeria,speciale latteria,xii-elettrodomestici,xii sub 1,xiii (libri),xii-radio e tv,xii-materiale elettrico,xii sub 2,vi,xiv prodotti per l'edilizia,xiv prodotti per la casa,xiv prod.meccanica strum e att,xiv prod. sport e tempo libero,xiv prodotti per la persona;583
VIA PONTE VETERO N. 14 (z.d. 1);03/11/1994;VIA ;PONTE VETERO;14;;718;1;;;;;;alimentare,non alimentare;;;xiv-antichita' e opere d' arte,xiv-ceram. porcellane, vetrer.,xiv,xiii (libri),xii sub 2,x,i;300
VIA PINDARO N. 7 , isolato:033, accesso: accesso esterno, (z.d. 2);14/11/1994;VIA ;PINDARO;7;;2401;2;;in s mercato;;;;alimentare,non alimentare;"prodotti per la persona - prodotti per la casa - prodotti per lo sport e il tempo libero - prodotti per l'edilizia 
,,erboristeria (prodotti preconfezionati e sigillati all'origine) - animali vivi e articoli per il loro allevamento - articoli di cine, foto, ottica (con l'esclusione dei prodotti per la cui vendita e' prevista l'attivita' di persona munita di speciale abilitazione , secondo le norme della l.23.6.1927 n.1264 e relativo regolamento di esecuzione r.d. 31.5.1928 n.1334) - computers articoli di elettronica 
,,,,,,,,,";discount alimentare;xiv,xii-radio e tv,xiv prodotti vari,xii-elettrodomestici,xii sub 2,x,xii-materiale elettrico,speciale latteria,xii sub 1,xiv prod.meccanica strum e att,i,xiii (libri);600
VIA FARA GUSTAVO N. 35 , isolato:289, accesso: accesso esterno, (z.d. 9);02/12/1994;VIA ;FARA GUSTAVO;35;;1183;9;;natura si;;;;alimentare,non alimentare;"supemercato 
";minimercati;settore alimentare/non aliment;270
VLE CATERINA DA FORLI' num.024/2, isolato:020, accesso: accesso interno, (z.d. 7);21/12/1994;VLE;CATERINA DA FORLI' ;24;2;6611;7;;;;;;non alimentare;"sanitari - piastrelle - materiale idraulico - arredobagno - materiale edile ed affine - ferramenta - utensilerua e serrature. 
";materiali da costruzione;xiv;350
VLE CASSALA N. 15 , isolato:059, accesso: accesso esterno, (z.d. 6);23/12/1994;VLE ;CASSALA;15;;5275;6;;;;;;alimentare,non alimentare;",(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita al dettaglio fiori piante vasi lumini attrezzature per giardinaggio 
";fiori e piante;settore alimentare,settore non alimentare;385
CSO VERCELLI N. 35 (z.d. 6);21/12/1994;CSO ;VERCELLI;35;;6193;7;;;;;;non alimentare;;;xiv,xii sub 1;575
VIA ALUNNO NICOLO' N. 23 , isolato:197, accesso: accesso esterno, (z.d. 7);30/12/1994;VIA ;ALUNNO NICOLO';23;;6640;7;;;;;;non alimentare;;mobili;settore non alimentare;380
VIA STAMIRA D'ANCONA N. 28 , isolato:195, accesso: area ap.rec., (z.d. 2);22/12/1994;VIA ;STAMIRA D'ANCONA;28;;2337;2;;penny market;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente supermercato 
";supermercato alimentare;settore alimentare/non aliment;510
VIA ROSSI PELLEGRINO N. 46 , isolato:190, accesso: accesso esterno, (z.d. 9);22/12/1994;VIA ;ROSSI PELLEGRINO;46;;1510;9;;penny market;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente:supermercato 
";supermercato alimentare;settore alimentare/non aliment;600
VLE TIBALDI N. 7 , accesso: accesso esterno, (z.d. 5);16/09/1993;VLE ;TIBALDI;7;;5234;5;;sma supermercati;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) supermercato 
";supermercato alimentare;settore alimentare/non aliment;990
CSO BUENOS AIRES N. 21 , isolato:078, accesso: accesso esterno, (z.d. 3);21/01/1988;CSO ;BUENOS AIRES;21;;2129;3;;upim;;;;alimentare,non alimentare;;grande magazz. con alimentari;settore alimentare/non aliment;3030
VIA BICOCCA DEGLI ARCIMBOLDI zona speciale z4-bicocca num.000, accesso: accesso esterno, (z.d. 9);16/01/1995;VIA ;BICOCCA DEGLI ARCIMBOLDI;;;1728;9;;;;centro commerciale;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: centro commerciale 17.10.2006 riesame dell'istanza del 13/05/2005 
";in sospensiva;settore alimentare/non aliment;5500
VIA MANZONI ALESSANDRO N. 12 ,via manzoni alessandro 012, isolato:363, accesso: accesso esterno, (z.d. 1);02/02/1995;VIA ;MANZONI ALESSANDRO;12;;230;1;;fondamentali;;;;non alimentare;;in attesa di revoca;settore non alimentare;349
VLE TESTI FULVIO N. 260 , isolato:045, accesso: accesso esterno, (z.d. 9);07/02/1995;VLE ;TESTI FULVIO;260;;1441;9;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";autoveicoli;settore non alimentare;530
CSO VENEZIA N. 7 ,cso venezia 007, isolato:261, accesso: accesso esterno, (z.d. 1);16/02/1995;CSO ;VENEZIA;7;;238;1;;d. E g.;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente:il commercio di generi di abbigliamento e accessori, profumi 
";abbigliamento;settore non alimentare;656
VIA MONCUCCO num.036/a, accesso: accesso esterno, (z.d. 6);21/04/1995;VIA ;MONCUCCO;36;A;5320;6;;penny market;;;;Alimentare,non alimentare;"(con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";discount alimentare;settore alimentare/non aliment;506
CSO GARIBALDI GIUSEPPE N. 127 (z.d. 1);29/03/1995;CSO ;GARIBALDI GIUSEPPE;127;;1010;1;;;;;;non alimentare;;;xiv-oggetti usati senza pregio;273
VIA ALESSANDRIA N. 3 , isolato:052, accesso: accesso esterno, (z.d. 6);29/03/1995;VIA ;ALESSANDRIA;3;;5109;6;;spazionavigli;;;;non alimentare;",,articoli per l'arredamento e l'ornamento della casa. 
,,,";arredamenti;xii sub 1,xii-elettrodomestici,xiv,xii-materiale elettrico,xii-radio e tv,xii sub 2;300
VIA MARCO BRUTO num.016/18, isolato:055, accesso: accesso esterno, (z.d. 4);01/04/1995;VIA ;MARCO BRUTO;16;18;3322;4;;betta e cereda srl;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: fiori freschi, piante in vaso, bulbi, sementi, articoli da giardinaggio e affini
";fiori e piante;settore non alimentare;1200
VIA MADERNA BRUNO N. 2 , isolato:072, accesso: accesso esterno, (z.d. 4);12/04/1995;VIA ;MADERNA BRUNO;2;;3382;4;;;;;;non alimentare;;mobili;xii sub 1;500
VIA MUSSI GIUSEPPE N. 5 , isolato:056, accesso: accesso interno, (z.d. 8);15/05/1995;VIA ;MUSSI GIUSEPPE;5;;7199;8;;riparaz. contachilometri;;;;non alimentare;;accessori e ricambi auto-moto;xiv-contach.access.iner.volan.;252
VIA ROSSI PELLEGRINO N. 93 , isolato:153, accesso: accesso esterno, (z.d. 9);06/05/1995;VIA ;ROSSI PELLEGRINO;93;;1510;9;;;;;;non alimentare;;autoveicoli;xiv-automobili;317
VIA CARNEVALI ANTONIO N. 116 , isolato:034, accesso: accesso interno, (z.d. 9);21/04/1995;VIA ;CARNEVALI ANTONIO;116;;1268;9;;penny market;;;;alimentare,non alimentare;"(con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente supermercato 
";supermercato alimentare;settore alimentare/non aliment;765
VIA SOLARI ANDREA N. 5 , isolato:026, accesso: accesso esterno, (z.d. 6);22/05/1995;VIA ;SOLARI ANDREA;5;;5111;6;;euromics galimberti;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente elettrodomestici radio tv 
";radio tv, elettrodom,app.radio;settore non alimentare;1157
VIA PRINETTI LUIGI N. 44 , isolato:282, accesso: accesso esterno, (z.d. 2);22/05/1995;VIA ;PRINETTI LUIGI;44;;2329;2;;arredamenti mobili;;;;non alimentare;;mobili;xii-radio e tv,xii-elettrodomestici,xii sub 1;659
CSO LODI N. 65 , isolato:023, accesso: accesso esterno, (z.d. 4);16/05/1995;CSO ;LODI;65;;4068;4;;ecom;;;;alimentare,non alimentare;"(esclusi i prodotti per i quali per legge necessita uno specifico diploma.) 
";supermercato alimentare;settore alimentare/non aliment;600
VIA LAMARMORA ALFONSO N. 21 , isolato:114, accesso: accesso esterno, (z.d. 1);29/05/1995;VIA ;LAMARMORA ALFONSO;21;;4103;1;;willy sport;;;;non alimentare;;articoli sportivi;xiv prod. sport e tempo libero;266
